Date,Username,User tag,Content,Mentions,link
"2023-10-22,12:19:09","yiyixiaoqisi","#0","FYI
Source code from the book : https://github.com/MoonHighway/learning-react/blob/second-edition/README.md
English version of this book : https://sd.blackball.lv/library/Learning_React_(2020).pdf","",""
"2023-10-22,20:03:06","yating.chang","#0","大家好, 我是雅婷, 很高興跟大家一起參加讀書會~","",""
"2023-10-23,08:59:01","ywyang236","#0","大家早安，

React 讀書會正式開始了！

底下有四份檔案，每一份都很重要，請仔細閱讀，分別是：
    
1. 讀書會的運作方式
2. 閱讀進度表
3. 對照章節表
4. 第一週的問答

第一週的問答，請於今晚12點前，和今日的筆記一同繳交。所有的筆記，都必須公開在這個群組。

注意：為確保大家的隱私，所有在此群組的圖文內容、檔案，或者是任何筆記資訊，非經當事人同意，請勿外流。


新的開始，願你一切就緒，確定目標，勇敢前行。


9:25 開放加入會議（自由決定是否開鏡頭）
https://meet.google.com/zuh-hosq-obe","","https://cdn.discordapp.com/attachments/1163002641010413668/1165816616194428959/1_React_group_rules.pdf?ex=655aaf55&is=65483a55&hm=bc6648a8c52d342a99319913dd0a1c0f111d6f83e9f0e402020847f75d5b785c&"
"2023-10-23,09:44:24","ohtani_showyu","#0","活動","",""
"2023-10-23,09:44:25","yiyixiaoqisi","#0","活動","",""
"2023-10-23,09:44:27","ywyang236","#0","活動","",""
"2023-10-23,09:44:31","yuu0210_","#0","活動","",""
"2023-10-23,09:44:33","yating.chang","#0","活動","",""
"2023-10-23,09:44:34","lark1987","#0","活動","",""
"2023-10-23,09:44:34",".wenying","#0","活動","",""
"2023-10-23,09:44:35","ilbas","#0","活動","",""
"2023-10-23,09:44:50","rouyu.","#0","活動","",""
"2023-10-23,09:45:07","lulu_cheng","#0","活動","",""
"2023-10-23,09:50:38","angeltsui","#0","活動","",""
"2023-10-23,09:52:59","yiyixiaoqisi","#0","here ~","",""
"2023-10-23,16:22:19","ohtani_showyu","#0","練肩＆二頭","",""
"2023-10-23,16:22:20","ohtani_showyu","#0","運動","",""
"2023-10-23,17:03:30",".wenying","#0","https://docs.google.com/document/d/1fcI3EN7-iJZdhPwQ80Znks3tsFuf0tyDcc9oyI2K2ZY/edit?usp=sharing","",""
"2023-10-23,17:03:33",".wenying","#0","筆記","",""
"2023-10-23,17:03:39",".wenying","#0","＋第一週問答","",""
"2023-10-23,17:11:52","ywyang236","#0","筆記要記得設公開哦～",".wenying#0",""
"2023-10-23,17:19:33",".wenying","#0","好！我看看怎麼調","ywyang236#0",""
"2023-10-23,17:48:36",".wenying","#0","我的notion好像怪怪的，我先改放到google docs
再來慢慢研究是哪邊出了問題","",""
"2023-10-23,20:45:22","ilbas","#0","https://ezc.notion.site/React-D1-c178e2962da14145a20422c2a252801c?pvs=4","",""
"2023-10-23,20:45:24","ilbas","#0","筆記","",""
